,City,Latitude,Longititude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Esim,39.95,-75.16,66.0,68,75,4.7,US,1603149311
1,Esim,-54.8,-68.3,39.2,86,75,43.62,AR,1603149262
2,Esim,38.52,-28.7,64.27,68,50,29.84,PT,1603149547
3,Esim,66.87,13.71,33.01,76,97,5.82,NO,1603149547
4,Esim,46.68,113.28,43.54,51,100,16.46,MN,1603149548
5,Esim,-21.36,55.77,69.8,64,29,5.82,RE,1603149548
6,Esim,-5.2,-35.46,77.0,83,40,4.7,BR,1603149548
7,Esim,-20.01,57.66,71.01,78,20,4.0,MU,1603149493
8,Esim,-17.71,-39.25,73.53,77,100,5.84,BR,1603149549
9,Esim,4.87,-2.24,77.4,88,22,8.3,GH,1603149549
